Column 1,Column 2,Column 3
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
6.677116210937500000e+03,6.673592773437500000e+03,6.573502929687500000e+03
